player_choice,computer_choice,result,round_number,player_health,computer_health,player_char
0,0,0,1,100,100,4
2,0,1,2,100,78,4
1,0,1,3,81,78,4
1,3,0,1,100,100,1
0,2,0,1,75,100,2
2,5,0,1,75,100,4
0,5,1,2,75,75,4
2,4,0,1,100,100,0
1,4,0,2,78,100,0
0,4,0,3,56,100,0
2,4,0,4,56,100,0
1,4,0,5,56,100,0
1,6,1,1,100,78,0
1,6,1,2,100,78,0
1,6,1,3,75,78,0
2,6,1,4,75,78,0
1,6,1,5,75,78,0
1,6,1,6,50,78,0
0,6,1,7,25,78,0
2,6,2,8,25,53,0
1,1,0,1,100,100,0
0,1,1,2,100,78,0
2,1,2,3,100,56,0
1,1,1,1,100,84,2
1,1,2,2,100,68,2
1,1,2,3,75,68,2
1,1,2,4,75,68,2
1,1,3,5,75,52,2
1,1,3,6,75,52,2
1,1,3,7,50,52,2
1,1,3,8,50,52,2
1,1,3,9,50,52,2
1,1,4,10,50,36,2
1,1,5,11,50,20,2
1,1,5,12,50,20,2
1,1,5,13,50,20,2
1,1,5,14,50,20,2
1,1,5,15,25,20,2
1,1,5,16,25,20,2
1,1,6,17,25,4,2
1,1,6,18,25,4,2
1,1,6,19,25,4,2
1,1,6,20,25,4,2
1,1,6,21,0,4,2
1,6,1,1,100,75,1
0,6,2,2,100,53,1
2,6,2,3,100,53,1
2,6,3,4,100,31,1
2,6,3,5,100,31,1
2,6,4,6,100,9,1
2,6,4,7,78,9,1
2,6,4,8,56,9,1
0,6,4,9,56,9,1
0,6,4,10,31,9,1
1,6,5,11,31,-16,1
1,3,0,1,78,100,4
2,3,1,2,78,78,4
1,3,1,3,56,78,4
0,3,1,4,56,78,4
2,3,2,5,56,56,4
1,3,2,6,34,56,4
0,3,2,7,34,56,4
2,3,3,8,34,34,4
1,4,0,1,78,100,4
1,6,0,1,75,100,0
0,6,1,2,75,75,0
2,6,1,3,53,75,0
1,6,1,4,28,75,0
1,6,1,5,28,75,0
1,6,1,6,28,75,0
1,6,1,7,28,75,0
1,6,1,8,28,75,0
1,6,1,9,28,75,0
1,6,1,10,3,75,0
1,6,1,11,-22,75,0
1,1,1,1,100,84,6
0,1,1,2,100,84,6
1,1,2,3,100,68,6
2,1,3,4,100,43,6
1,1,3,5,75,43,6
1,1,3,6,50,43,6
2,1,4,7,50,18,6
0,1,4,8,50,18,6
1,1,4,9,50,18,6
2,1,5,10,50,-7,6
0,4,0,1,100,100,6
1,4,0,2,78,100,6
2,4,1,3,78,78,6
1,4,1,4,56,78,6
2,4,1,5,31,78,6
1,4,1,6,9,78,6
2,4,2,7,9,56,6
1,4,3,8,9,31,6
2,4,3,9,9,31,6
1,4,3,10,-13,31,6
0,4,0,1,100,100,6
0,4,0,2,100,100,6
0,4,0,3,100,100,6
0,4,0,4,100,100,6
0,4,0,5,100,100,6
0,4,0,6,100,100,6
0,4,0,7,100,100,6
0,4,0,8,100,100,6
0,4,0,9,100,100,6
0,4,0,10,100,100,6
0,4,0,11,100,100,6
0,4,0,12,100,100,6
0,4,0,13,100,100,6
0,4,0,14,100,100,6
0,4,0,15,100,100,6
0,4,0,16,100,100,6
0,4,0,17,100,100,6
0,4,0,18,100,100,6
0,4,0,19,100,100,6
0,4,0,20,100,100,6
0,4,0,21,100,100,6
0,4,0,22,100,100,6
0,4,0,23,100,100,6
0,4,0,24,100,100,6
1,4,0,25,78,100,6
2,4,1,26,78,75,6
2,4,2,27,78,50,6
0,4,2,28,78,50,6
0,4,2,29,78,50,6
0,4,2,30,78,50,6
0,4,2,31,78,50,6
0,4,2,32,78,50,6
0,4,2,33,78,50,6
0,4,2,34,78,50,6
0,4,2,35,78,50,6
2,4,3,36,78,25,6
2,4,4,37,78,0,6
0,3,1,1,100,69,2
1,0,1,1,100,84,4
1,0,1,2,100,84,4
1,0,2,3,100,68,4
1,0,2,4,100,68,4
1,0,3,5,100,52,4
1,0,4,6,100,36,4
1,0,4,7,81,36,4
1,0,4,8,62,36,4
2,0,4,9,40,36,4
0,0,4,10,24,36,4
1,0,4,11,24,36,4
2,0,4,12,2,36,4
0,0,5,13,2,14,4
1,0,5,14,2,14,4
2,0,5,15,-20,14,4
1,3,1,1,100,75,6
1,3,1,2,100,75,6
1,3,2,3,100,50,6
1,3,2,4,78,50,6
2,3,3,5,78,28,6
0,3,3,6,78,28,6
2,3,4,7,78,6,6
1,3,4,8,56,6,6
0,3,4,9,31,6,6
2,3,4,10,31,6,6
0,3,4,11,6,6,6
2,3,4,12,6,6,6
0,3,4,13,-19,6,6
1,6,1,1,100,84,6
1,6,1,2,100,84,6
1,6,1,3,100,84,6
1,6,1,4,100,84,6
1,6,1,5,100,84,6
1,6,1,6,100,84,6
1,6,1,7,100,84,6
1,6,1,8,100,84,6
1,6,1,9,100,84,6
1,6,1,10,100,84,6
1,6,1,11,100,84,6
1,6,1,12,100,84,6
1,6,1,13,100,84,6
1,6,1,14,100,84,6
1,6,1,15,100,84,6
1,6,1,16,100,84,6
1,6,1,17,100,84,6
1,6,1,18,100,84,6
1,6,1,19,100,84,6
1,6,1,20,100,84,6
1,6,1,21,100,84,6
1,6,1,22,100,84,6
1,6,1,23,100,84,6
1,6,1,24,100,84,6
1,6,1,25,75,84,6
1,6,1,26,50,84,6
1,6,1,27,25,84,6
1,6,1,28,0,84,6
0,0,0,1,84,100,2
1,0,0,2,84,100,2
1,0,0,3,84,100,2
1,0,0,4,84,100,2
1,0,0,5,84,100,2
1,0,0,6,84,100,2
1,0,0,7,84,100,2
1,0,0,8,84,100,2
1,0,0,9,84,100,2
1,0,0,10,84,100,2
1,0,0,11,84,100,2
1,0,0,12,84,100,2
1,0,0,13,84,100,2
1,0,0,14,84,100,2
1,0,0,15,84,100,2
1,0,0,16,84,100,2
1,0,0,17,84,100,2
1,0,0,18,84,100,2
1,0,0,19,84,100,2
1,0,0,20,84,100,2
1,0,0,21,84,100,2
1,0,0,22,84,100,2
1,0,0,23,84,100,2
1,0,0,24,84,100,2
1,0,0,25,84,100,2
1,0,0,26,84,100,2
1,0,0,27,84,100,2
1,0,0,28,84,100,2
1,0,0,29,84,100,2
1,0,0,30,84,100,2
1,0,0,31,84,100,2
1,0,0,32,84,100,2
1,0,0,33,84,100,2
1,0,0,34,84,100,2
1,0,0,35,84,100,2
1,0,0,36,84,100,2
1,0,0,37,84,100,2
1,0,0,38,84,100,2
1,0,0,39,84,100,2
1,0,0,40,84,100,2
1,0,0,41,84,100,2
1,0,0,42,84,100,2
1,0,0,43,84,100,2
1,0,0,44,84,100,2
1,0,0,45,84,100,2
1,0,0,46,84,100,2
0,0,1,47,84,78,2
0,0,1,48,68,78,2
1,0,2,49,68,62,2
1,0,3,50,68,46,2
1,0,4,51,68,30,2
1,0,5,52,68,14,2
1,0,5,53,49,14,2
1,0,5,54,30,14,2
1,0,5,55,11,14,2
1,0,5,56,-8,14,2
2,0,0,1,100,100,1
1,0,1,2,100,81,1
0,0,1,3,100,81,1
1,0,1,4,81,81,1
2,0,1,5,59,81,1
1,0,2,6,59,62,1
0,0,3,7,59,37,1
2,2,0,1,100,100,2
0,2,0,2,75,100,2
1,2,0,3,75,100,2
2,2,0,4,50,100,2
0,2,1,5,50,75,2
1,2,1,6,19,75,2
2,2,1,7,-6,75,2
1,0,0,1,81,100,2
1,0,0,2,81,100,2
1,0,0,3,81,100,2
1,0,0,4,81,100,2
1,0,0,5,81,100,2
1,0,0,6,81,100,2
1,0,0,7,81,100,2
1,0,0,8,81,100,2
1,0,0,9,81,100,2
1,0,0,10,62,100,2
1,0,0,11,43,100,2
1,0,0,12,24,100,2
1,0,0,13,5,100,2
2,0,1,14,5,75,2
0,0,1,15,5,75,2
2,0,1,16,5,75,2
0,0,1,17,5,75,2
2,0,1,18,5,75,2
1,0,1,19,-14,75,2
1,4,0,1,78,100,4
1,4,0,2,78,100,4
1,4,0,3,78,100,4
1,4,0,4,78,100,4
1,4,0,5,78,100,4
1,4,0,6,78,100,4
1,4,0,7,78,100,4
1,4,0,8,78,100,4
1,4,0,9,78,100,4
1,4,0,10,56,100,4
1,4,0,11,34,100,4
1,4,1,12,34,75,4
1,4,2,13,34,50,4
