current_round,agents_data,death_data,birth_data
2,"(85, 300)","(12, 0)","(0, 0)"
3,"(73, 300)","(11, 0)","(0, 0)"
4,"(64, 300)","(9, 0)","(0, 0)"
5,"(188, 324)","(0, 0)","(124, 24)"
2,"(86, 300)","(13, 0)","(0, 0)"
3,"(78, 300)","(6, 0)","(0, 0)"
4,"(71, 300)","(6, 0)","(0, 0)"
5,"(193, 336)","(0, 0)","(122, 36)"
6,"(153, 348)","(32, 0)","(0, 12)"
7,"(130, 376)","(22, 0)","(0, 28)"
8,"(114, 392)","(16, 0)","(0, 16)"
9,"(299, 422)","(1, 0)","(186, 30)"
10,"(238, 480)","(50, 0)","(2, 58)"
11,"(590, 562)","(30, 0)","(384, 82)"
12,"(466, 639)","(110, 3)","(4, 80)"
13,"(1065, 715)","(90, 0)","(704, 76)"
14,"(750, 745)","(253, 0)","(0, 30)"
15,"(577, 767)","(149, 0)","(10, 22)"
16,"(456, 803)","(103, 0)","(0, 36)"
17,"(1170, 930)","(2, 1)","(716, 128)"
18,"(876, 955)","(241, 1)","(10, 26)"
19,"(684, 1062)","(173, 1)","(20, 108)"
20,"(1591, 1094)","(27, 0)","(934, 32)"
21,"(1159, 1192)","(363, 0)","(18, 98)"
2,"(86, 300)","(13, 0)","(0, 0)"
3,"(75, 300)","(10, 0)","(0, 0)"
4,"(65, 300)","(8, 0)","(0, 0)"
5,"(168, 320)","(8, 0)","(112, 20)"
6,"(144, 330)","(22, 0)","(0, 10)"
7,"(124, 372)","(17, 0)","(0, 42)"
8,"(348, 390)","(0, 0)","(224, 18)"
9,"(275, 406)","(59, 0)","(0, 16)"
10,"(218, 460)","(46, 0)","(0, 54)"
11,"(590, 536)","(0, 0)","(372, 76)"
12,"(450, 576)","(123, 4)","(10, 46)"
13,"(347, 606)","(87, 0)","(0, 30)"
14,"(868, 684)","(3, 0)","(524, 78)"
15,"(657, 741)","(182, 3)","(16, 60)"
16,"(1418, 810)","(122, 3)","(912, 72)"
17,"(978, 850)","(351, 0)","(0, 40)"
18,"(729, 926)","(212, 0)","(12, 76)"
19,"(1819, 1028)","(4, 0)","(1094, 102)"
20,"(1272, 1070)","(453, 0)","(26, 42)"
21,"(985, 1192)","(291, 0)","(80, 122)"
2,"(87, 300)","(11, 0)","(0, 0)"
2,"(87, 300)","(12, 0)","(0, 0)"
2,"(91, 300)","(9, 0)","(0, 0)"
2,"(85, 300)","(12, 0)","(0, 0)"
3,"(64, 300)","(15, 0)","(0, 0)"
4,"(56, 300)","(7, 0)","(0, 0)"
5,"(51, 300)","(5, 0)","(0, 0)"
6,"(149, 306)","(0, 0)","(98, 6)"
7,"(123, 318)","(22, 0)","(0, 12)"
8,"(106, 368)","(16, 0)","(0, 50)"
9,"(290, 402)","(0, 0)","(184, 34)"
10,"(228, 424)","(50, 0)","(0, 22)"
11,"(197, 504)","(31, 0)","(4, 80)"
12,"(506, 583)","(1, 1)","(310, 80)"
13,"(381, 595)","(98, 0)","(2, 12)"
14,"(323, 669)","(63, 0)","(18, 74)"
15,"(784, 785)","(6, 0)","(468, 116)"
16,"(601, 842)","(163, 1)","(10, 58)"
17,"(499, 925)","(117, 1)","(42, 84)"
18,"(1152, 1017)","(16, 0)","(674, 92)"
19,"(913, 1109)","(229, 0)","(50, 92)"
20,"(1881, 1281)","(172, 0)","(1178, 172)"
21,"(1362, 1361)","(434, 0)","(34, 80)"
2,"(86, 300)","(10, 0)","(0, 0)"
3,"(73, 300)","(11, 0)","(0, 0)"
4,"(210, 340)","(3, 0)","(140, 40)"
5,"(168, 374)","(36, 0)","(0, 34)"
6,"(145, 376)","(22, 0)","(0, 2)"
7,"(413, 420)","(0, 0)","(268, 44)"
8,"(312, 462)","(80, 0)","(0, 42)"
9,"(721, 522)","(59, 0)","(478, 60)"
10,"(507, 546)","(166, 0)","(0, 24)"
11,"(388, 606)","(98, 0)","(0, 60)"
12,"(1018, 699)","(0, 3)","(630, 96)"
13,"(710, 709)","(247, 0)","(0, 10)"
14,"(536, 739)","(140, 0)","(0, 30)"
15,"(1204, 803)","(100, 0)","(786, 64)"
16,"(859, 889)","(268, 0)","(2, 86)"
17,"(1906, 1018)","(179, 1)","(1268, 130)"
18,"(1319, 1084)","(467, 0)","(6, 66)"
19,"(955, 1149)","(288, 1)","(0, 66)"
20,"(2399, 1229)","(2, 2)","(1446, 82)"
21,"(1617, 1261)","(610, 2)","(2, 34)"
2,"(87, 300)","(11, 0)","(0, 0)"
3,"(74, 300)","(12, 0)","(0, 0)"
4,"(198, 338)","(7, 0)","(132, 38)"
5,"(166, 396)","(28, 0)","(0, 58)"
6,"(138, 396)","(26, 0)","(0, 0)"
7,"(382, 414)","(0, 0)","(244, 18)"
8,"(297, 448)","(70, 0)","(0, 34)"
9,"(694, 520)","(49, 0)","(456, 72)"
10,"(496, 536)","(157, 0)","(0, 16)"
11,"(386, 598)","(93, 0)","(8, 62)"
12,"(972, 629)","(4, 3)","(590, 34)"
13,"(686, 657)","(226, 0)","(0, 28)"
14,"(497, 695)","(151, 0)","(0, 38)"
15,"(1127, 747)","(81, 0)","(732, 52)"
2,"(161, 300)","(34, 0)","(0, 0)"
3,"(131, 300)","(24, 0)","(0, 0)"
4,"(108, 300)","(19, 0)","(0, 0)"
5,"(92, 300)","(15, 0)","(0, 0)"
6,"(260, 312)","(0, 0)","(168, 12)"
7,"(200, 316)","(51, 0)","(0, 4)"
8,"(165, 316)","(30, 0)","(0, 0)"
9,"(133, 328)","(24, 0)","(0, 12)"
10,"(322, 346)","(21, 0)","(212, 18)"
11,"(247, 382)","(59, 0)","(0, 36)"
12,"(207, 420)","(38, 4)","(4, 42)"
13,"(539, 472)","(1, 2)","(334, 54)"
14,"(412, 516)","(105, 0)","(4, 44)"
15,"(313, 547)","(80, 1)","(0, 32)"
16,"(780, 592)","(3, 1)","(470, 46)"
17,"(560, 600)","(178, 0)","(0, 8)"
18,"(423, 604)","(114, 0)","(0, 4)"
19,"(345, 612)","(66, 0)","(2, 8)"
20,"(302, 622)","(43, 0)","(4, 10)"
21,"(755, 699)","(5, 1)","(458, 78)"
2,"(160, 300)","(36, 0)","(0, 0)"
3,"(135, 300)","(23, 0)","(0, 0)"
4,"(108, 300)","(22, 0)","(0, 0)"
5,"(92, 300)","(14, 0)","(0, 0)"
6,"(92, 300)","(0, 0)","(0, 0)"
7,"(240, 300)","(2, 0)","(150, 0)"
8,"(191, 302)","(39, 0)","(0, 2)"
9,"(150, 302)","(35, 0)","(0, 0)"
10,"(125, 314)","(21, 0)","(0, 12)"
11,"(312, 334)","(15, 0)","(204, 20)"
12,"(230, 339)","(65, 3)","(0, 8)"
13,"(184, 343)","(39, 2)","(0, 6)"
14,"(152, 361)","(31, 2)","(4, 20)"
15,"(131, 360)","(17, 1)","(0, 0)"
16,"(131, 366)","(0, 0)","(0, 6)"
17,"(303, 367)","(3, 1)","(176, 2)"
18,"(247, 371)","(55, 0)","(6, 4)"
19,"(205, 440)","(38, 1)","(4, 70)"
